@relation bookkeeper_TE2
@attribute SIZE numeric
@attribute NR numeric
@attribute N_AUTH numeric
@attribute LOC_ADDED numeric
@attribute MAX_LOC_ADDED numeric
@attribute AVG_LOC_ADDED numeric
@attribute CHURN numeric
@attribute MAX_CHURN numeric
@attribute AVG_CHURN numeric
@attribute IS_BUGGY {'true', 'false'}
@data
35,0,0,0,0,0.0,0,0,0.0,false
388,2,2,9,8,4.5,9,6,4.5,false
84,0,0,0,0,0.0,0,0,0.0,false
70,0,0,0,0,0.0,0,0,0.0,false
92,0,0,0,0,0.0,0,0,0.0,false
89,1,1,2,2,2.0,1,1,1.0,false
63,0,0,0,0,0.0,0,0,0.0,false
51,0,0,0,0,0.0,0,0,0.0,false
147,0,0,0,0,0.0,0,0,0.0,false
179,3,2,4,2,1.3333333333333333,31,18,10.333333333333334,false
284,1,1,0,0,0.0,23,23,23.0,false
106,1,1,1,1,1.0,1,1,1.0,false
47,0,0,0,0,0.0,0,0,0.0,false
45,0,0,0,0,0.0,0,0,0.0,false
90,2,1,5,3,2.5,13,12,6.5,false
727,7,3,56,23,8.0,49,30,7.0,false
62,0,0,0,0,0.0,0,0,0.0,false
35,0,0,0,0,0.0,0,0,0.0,false
172,0,0,0,0,0.0,0,0,0.0,false
94,0,0,0,0,0.0,0,0,0.0,false
27,0,0,0,0,0.0,0,0,0.0,false
191,1,1,4,4,4.0,1,1,1.0,false
66,0,0,0,0,0.0,0,0,0.0,false
82,1,1,2,2,2.0,2,2,2.0,false
43,0,0,0,0,0.0,0,0,0.0,false
189,3,2,38,32,12.666666666666666,60,38,20.0,false
87,1,1,5,5,5.0,1,1,1.0,false
467,9,3,118,52,13.11111111111111,181,102,20.11111111111111,false
153,5,3,71,34,14.2,34,19,6.8,true
44,0,0,0,0,0.0,0,0,0.0,false
306,1,1,6,6,6.0,4,4,4.0,true
50,0,0,0,0,0.0,0,0,0.0,false
437,1,1,0,0,0.0,12,12,12.0,false
74,0,0,0,0,0.0,0,0,0.0,false
62,0,0,0,0,0.0,0,0,0.0,false
48,0,0,0,0,0.0,0,0,0.0,false
46,0,0,0,0,0.0,0,0,0.0,false
577,7,3,54,19,7.714285714285714,76,59,10.857142857142858,false
90,2,1,13,11,6.5,25,14,12.5,false
109,2,1,0,0,0.0,45,36,22.5,false
92,5,1,8,2,1.6,56,27,11.2,false
56,0,0,0,0,0.0,0,0,0.0,false
74,0,0,0,0,0.0,0,0,0.0,false
31,0,0,0,0,0.0,0,0,0.0,false
28,0,0,0,0,0.0,0,0,0.0,false
