JAVA_CLASS,RELEASE,SIZE,NR,N_AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,IS_BUGGY
hedwig-server/src/main/java/org/apache/hedwig/server/common/UnexpectedError.java,1,35,1,1,1,1,1.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/netty/HedwigPublisher.java,1,231,4,2,12,6,3.0,7,6,1.75,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/tools/BookKeeperTools.java,1,92,5,2,742,688,148.4,679,675,135.8,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/CRC32DigestManager.java,1,50,1,1,3,3,3.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/ChannelDisconnectListener.java,1,29,1,1,1,1,1.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/Handler.java,1,37,1,1,3,3,3.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/BufferedChannel.java,1,180,3,2,15,12,5.0,12,8,4.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/MarkerFileChannel.java,1,147,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncZKCallback.java,1,98,1,1,1,1,1.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/data/PubSubData.java,1,149,1,1,3,3,3.0,0,0,0.0,true
hedwig-server/src/main/java/org/apache/hedwig/server/common/ByteStringInterner.java,1,45,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/benchmark/BookieBenchmark.java,1,105,4,2,43,39,10.75,2,1,0.5,false
hedwig-server/src/main/java/org/apache/hedwig/server/subscriptions/ZkSubscriptionManager.java,1,227,2,1,52,50,26.0,1,1,0.5,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/OrderedSafeExecutor.java,1,98,1,1,4,4,4.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/MessageConsumeCallback.java,1,96,3,1,11,5,3.6666666666666665,1,1,0.3333333333333333,false
hedwig-server/src/main/java/org/apache/hedwig/server/regions/HedwigHubClientFactory.java,1,60,1,1,1,1,1.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/handlers/PublishHandler.java,1,68,1,1,11,11,11.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/data/TopicSubscriber.java,1,74,1,1,4,4,4.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/proto/PerChannelBookieClient.java,1,603,8,3,80,24,10.0,34,11,4.25,true
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/MapMethods.java,1,62,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/handlers/UnsubscribeResponseHandler.java,1,84,3,1,9,5,3.0,1,1,0.3333333333333333,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/bookie/LedgerEntryPage.java,1,157,2,2,7,6,3.5,6,6,3.0,false
hedwig-server/src/main/java/org/apache/hedwig/zookeeper/SafeAsyncCallback.java,1,35,0,0,0,0,0.0,0,0,0.0,true
hedwig-protocol/src/main/java/org/apache/hedwig/protoextensions/SubscriptionStateUtils.java,1,41,1,1,1,1,1.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkUtils.java,1,177,2,1,4,2,2.0,1,1,0.5,true
hedwig-client/src/main/java/org/apache/hedwig/client/ssl/SslContextFactory.java,1,66,1,1,13,13,13.0,1,1,1.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerEntry.java,1,84,2,1,49,46,24.5,1,1,0.5,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/util/SafeRunnable.java,1,39,2,1,10,7,5.0,1,1,0.5,false
hedwig-server/src/main/java/org/apache/hedwig/server/ssl/SslServerContextFactory.java,1,53,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/topics/AbstractTopicManager.java,1,197,3,2,11,6,3.6666666666666665,10,9,3.3333333333333335,true
hedwig-client/src/main/java/org/apache/hedwig/client/HedwigClient.java,1,72,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/PersistenceManager.java,1,91,1,1,5,5,5.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerOpenOp.java,1,169,8,2,63,17,7.875,31,18,3.875,true
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/Factory.java,1,22,0,0,0,0,0.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/LedgerMetadata.java,1,248,6,3,40,16,6.666666666666667,54,28,9.0,true
bookkeeper-server/src/main/java/org/apache/bookkeeper/meta/FlatLedgerManager.java,1,193,0,0,0,0,0.0,0,0,0.0,false
hedwig-client/src/main/java/org/apache/hedwig/util/Either.java,1,50,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyStopDeliveryHandler.java,1,74,1,1,2,2,2.0,1,1,1.0,true
hedwig-client/src/main/java/org/apache/hedwig/util/FileUtils.java,1,98,1,1,2,2,2.0,1,1,1.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/proxy/ProxyPublishHander.java,1,62,0,0,0,0,0.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/persistence/BookkeeperPersistenceManager.java,1,737,2,1,149,144,74.5,1,1,0.5,true
hedwig-client/src/main/java/org/apache/hedwig/client/api/MessageHandler.java,1,48,2,1,8,5,4.0,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/FIFODeliveryManager.java,1,566,3,2,34,32,11.333333333333334,5,4,1.6666666666666667,true
hedwig-server/src/main/java/org/apache/hedwig/server/netty/PubSubServer.java,1,385,5,2,15,8,3.0,21,14,4.2,true
hedwig-client/src/main/java/org/apache/hedwig/client/benchmark/BenchmarkWorker.java,1,46,1,1,1,1,1.0,0,0,0.0,false
bookkeeper-server/src/main/java/org/apache/bookkeeper/client/DistributionSchedule.java,1,61,2,2,5,4,2.5,0,0,0.0,false
hedwig-server/src/main/java/org/apache/hedwig/server/delivery/DeliveryManager.java,1,29,1,1,1,1,1.0,0,0,0.0,true
