DATASET,TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST

bookkeeper,None,None,Random Forest,false,false,false,0.017857142857142856,0.015625,0.5891573694396821,-0.0033636284621860538,0.25,5.0,292.25,18.75,0.2950948142414861,192
bookkeeper,None,None,Naive Bayes,false,false,false,0.012417218543046357,0.1171875,0.5869489516986637,-0.01786137567878385,3.75,89.25,505.25,34.25,0.3268995098039216,431
bookkeeper,None,None,IBk,false,false,false,0.069485174323884,0.10386029411764705,0.5717791061951876,-0.008301904443051096,5.25,100.75,791.0,51.75,0.32371323529411766,617
bookkeeper,None,None,Random Forest,true,false,false,0.051766860590390006,0.0778952205882353,0.5839843330200243,-0.010565363863160614,5.25,106.0,1083.0,70.75,0.3625,813
bookkeeper,None,None,Naive Bayes,true,false,false,0.051399133590914414,0.10919117647058824,0.5778092000947055,-0.010808821146612062,9.0,177.75,1308.5,86.0,0.13768382352941178,1037
bookkeeper,None,None,IBk,true,false,false,0.08926820992308852,0.10716911764705883,0.5811228800033825,-4.7240841079900994E-4,11.0,188.75,1594.75,103.0,0.36544117647058827,1218
bookkeeper,None,None,Random Forest,true,true,false,0.07765817014568177,0.13227415966386555,0.5730603321908248,0.010754422942454775,17.25,251.75,1829.0,115.75,0.35808823529411765,1408
bookkeeper,None,None,Naive Bayes,true,true,false,0.07966440886699508,0.14779411764705883,0.5722187540380734,0.011195920104925467,21.75,326.75,2051.25,130.25,0.12738970588235293,1628
bookkeeper,None,None,IBk,true,true,false,0.07636793920063882,0.18045343137254904,0.5699904752934847,0.019375826789323886,31.75,416.5,2258.75,139.25,0.4216911764705882,1808
bookkeeper,None,None,Random Forest,true,false,true,0.07636793920063882,0.1624080882352941,0.5683421851227421,0.01822675906411599,31.75,416.5,2556.0,158.25,0.29558823529411765,1998
bookkeeper,None,None,Naive Bayes,true,false,true,0.07752591136070348,0.16610962566844922,0.5634360272525433,0.01957019567205423,35.0,441.25,2828.5,174.0,0.12205882352941178,2181
bookkeeper,None,None,IBk,true,false,true,0.08044088410242048,0.15905330882352942,0.5669579406341837,0.021680343434808732,36.75,450.25,3116.75,191.25,0.36544117647058827,2362
