DATASET,TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST

bookkeeper,1,44.44444444444444,Random Forest,false,false,false,0.0,0.0,0.5,0.0,0.0,0.0,214.0,6.0,0.4,60
bookkeeper,2,56.011315417256014,Random Forest,false,false,false,0.07142857142857142,0.0625,0.6985169491525424,0.01959018239135345,1.0,13.0,282.0,15.0,0.1875,163
bookkeeper,3,66.44736842105263,Random Forest,false,false,false,0.0,0.0,0.5157270029673591,-0.022922636103152136,0.0,5.0,332.0,20.0,0.21052631578947367,205
bookkeeper,4,73.83761276891047,Random Forest,false,false,false,0.0,0.0,0.642385525638827,-0.01012206013694553,0.0,2.0,341.0,34.0,0.38235294117647056,342
bookkeeper,1,44.44444444444444,Naive Bayes,false,false,false,0.0,0.0,0.446553738317757,-0.04788877445932051,0.0,62.0,366.0,12.0,0.3333333333333333,182
bookkeeper,2,56.011315417256014,Naive Bayes,false,false,false,0.04966887417218543,0.46875,0.6038665254237288,-0.003545271202632484,15.0,287.0,303.0,17.0,0.3125,457
bookkeeper,3,66.44736842105263,Naive Bayes,false,false,false,0.0,0.0,0.5999072700296736,-0.014831294030404325,0.0,6.0,668.0,40.0,0.25,406
bookkeeper,4,73.83761276891047,Naive Bayes,false,false,false,0.0,0.0,0.6974682730234951,-0.005180163022778087,0.0,2.0,684.0,68.0,0.4117647058823529,682
bookkeeper,1,44.44444444444444,IBk,false,false,false,0.0,0.0,0.45002596053997923,-0.044138585666825075,0.0,62.0,580.0,18.0,0.4,242
bookkeeper,2,56.011315417256014,IBk,false,false,false,0.05571847507331378,0.3958333333333333,0.6095338983050848,0.008231349995911436,19.0,322.0,563.0,29.0,0.3125,612
bookkeeper,3,66.44736842105263,IBk,false,false,false,0.0,0.0,0.5714226838114078,-0.01902949571836369,0.0,12.0,999.0,60.0,0.2,612
bookkeeper,4,73.83761276891047,IBk,false,false,false,0.2222222222222222,0.0196078431372549,0.6561338821242783,0.021729113617072943,2.0,7.0,1022.0,100.0,0.38235294117647056,1007
bookkeeper,1,44.44444444444444,Random Forest,true,false,false,0.0,0.0,0.47018594236760125,-0.04093309859154946,0.0,62.0,794.0,24.0,0.4,302
bookkeeper,2,56.011315417256014,Random Forest,true,false,false,0.05322128851540616,0.296875,0.6131686970338983,0.0032968780071462056,19.0,338.0,842.0,45.0,0.25,788
bookkeeper,3,66.44736842105263,Random Forest,true,false,false,0.0,0.0,0.5826316765578635,-0.015911385820507953,0.0,13.0,1335.0,80.0,0.3,813
bookkeeper,4,73.83761276891047,Random Forest,true,false,false,0.15384615384615385,0.014705882352941176,0.669951016120734,0.011286150952268762,2.0,11.0,1361.0,134.0,0.5,1351
bookkeeper,1,44.44444444444444,Naive Bayes,true,false,false,0.0,0.0,0.473208722741433,-0.038161674189577534,0.0,62.0,1008.0,30.0,0.0,362
bookkeeper,2,56.011315417256014,Naive Bayes,true,false,false,0.0517503805175038,0.425,0.5890889830508474,5.95629806468482E-4,34.0,623.0,852.0,46.0,0.3125,1083
bookkeeper,3,66.44736842105263,Naive Bayes,true,false,false,0.0,0.0,0.5884005934718101,-0.014831294030404325,0.0,15.0,1670.0,100.0,0.15,1015
bookkeeper,4,73.83761276891047,Naive Bayes,true,false,false,0.15384615384615385,0.011764705882352941,0.6605385011147316,0.009162053827065126,2.0,11.0,1704.0,168.0,0.08823529411764706,1691
bookkeeper,1,44.44444444444444,IBk,true,false,false,0.0,0.0,0.4870089131187262,-0.035741737125288414,0.0,62.0,1222.0,36.0,0.6,422
bookkeeper,2,56.011315417256014,IBk,true,false,false,0.054441260744985676,0.3958333333333333,0.5965483757062147,0.005788119217446449,38.0,660.0,1110.0,58.0,0.25,1240
bookkeeper,3,66.44736842105263,IBk,true,false,false,0.05263157894736842,0.008333333333333333,0.585573277283218,-9.414076090298449E-4,1.0,18.0,2004.0,119.0,0.2,1208
bookkeeper,4,73.83761276891047,IBk,true,false,false,0.25,0.024509803921568627,0.6553609539053716,0.02900539187367577,5.0,15.0,2043.0,199.0,0.4117647058823529,2005
bookkeeper,1,44.44444444444444,Random Forest,true,true,false,0.0,0.0,0.48989923072032554,-0.03361040838453213,0.0,62.0,1436.0,42.0,0.4,482
bookkeeper,2,56.011315417256014,Random Forest,true,true,false,0.05521472392638037,0.4017857142857143,0.5853748702870979,0.007284043368660253,45.0,770.0,1295.0,67.0,0.25,1440
bookkeeper,3,66.44736842105263,Random Forest,true,true,false,0.07894736842105263,0.06428571428571428,0.5787833827893175,0.021667943983835765,9.0,105.0,2254.0,131.0,0.4,1415
bookkeeper,4,73.83761276891047,Random Forest,true,true,false,0.17647058823529413,0.06302521008403361,0.638183844966558,0.047676112801855214,15.0,70.0,2331.0,223.0,0.38235294117647056,2300
bookkeeper,1,44.44444444444444,Naive Bayes,true,true,false,0.0,0.0,0.48926693925233644,-0.03171896316507518,0.0,62.0,1650.0,48.0,0.0,542
bookkeeper,2,56.011315417256014,Naive Bayes,true,true,false,0.05357142857142857,0.46875,0.5808659957627119,0.004201108184212849,60.0,1060.0,1300.0,68.0,0.3125,1740
bookkeeper,3,66.44736842105263,Naive Bayes,true,true,false,0.07758620689655173,0.05625,0.5805522069732938,0.019021854897115636,9.0,107.0,2589.0,151.0,0.05,1617
bookkeeper,4,73.83761276891047,Naive Bayes,true,true,false,0.1875,0.0661764705882353,0.6381898741639513,0.053279680503448563,18.0,78.0,2666.0,254.0,0.14705882352941177,2618
bookkeeper,1,44.44444444444444,IBk,true,true,false,0.0,0.0,0.4995817468558902,-0.03002906038101534,0.0,62.0,1864.0,54.0,0.6,602
bookkeeper,2,56.011315417256014,IBk,true,true,false,0.05634920634920635,0.4930555555555556,0.5857684662063193,0.00969408867492247,71.0,1189.0,1466.0,73.0,0.375,1919
bookkeeper,3,66.44736842105263,IBk,true,true,false,0.07604562737642585,0.1111111111111111,0.5702815327691688,0.025468905582160736,20.0,243.0,2790.0,160.0,0.3,1843
bookkeeper,4,73.83761276891047,IBk,true,true,false,0.17307692307692307,0.11764705882352941,0.6243301553425603,0.07236937328122768,36.0,172.0,2915.0,270.0,0.4117647058823529,2872
bookkeeper,1,44.44444444444444,Random Forest,true,false,true,0.0,0.0,0.4993886292834891,-0.02851011649294926,0.0,62.0,2078.0,60.0,0.4,662
bookkeeper,2,56.011315417256014,Random Forest,true,false,true,0.05634920634920635,0.44375,0.5902552966101695,0.009573884874158941,71.0,1189.0,1761.0,89.0,0.25,2079
bookkeeper,3,66.44736842105263,Random Forest,true,false,true,0.07604562737642585,0.1,0.5576876854599406,0.024293956878225914,20.0,243.0,3127.0,180.0,0.15,2043
bookkeeper,4,73.83761276891047,Random Forest,true,false,true,0.17307692307692307,0.10588235294117647,0.6260371291373692,0.06754931099702836,36.0,172.0,3258.0,304.0,0.38235294117647056,3212
bookkeeper,1,44.44444444444444,Naive Bayes,true,false,true,0.0,0.0,0.49791457480497414,-0.027137437992412732,0.0,62.0,2292.0,66.0,0.0,722
bookkeeper,2,56.011315417256014,Naive Bayes,true,false,true,0.061269146608315096,0.4772727272727273,0.5851353480879675,0.019156308248236154,84.0,1287.0,1958.0,92.0,0.25,2207
bookkeeper,3,66.44736842105263,Naive Bayes,true,false,true,0.07575757575757576,0.09090909090909091,0.5535694141305147,0.02293069013980358,20.0,244.0,3463.0,200.0,0.15,2244
bookkeeper,4,73.83761276891047,Naive Bayes,true,false,true,0.17307692307692307,0.0962566844919786,0.6171247719867168,0.06333122229258992,36.0,172.0,3601.0,338.0,0.08823529411764706,3552
bookkeeper,1,44.44444444444444,IBk,true,false,true,0.0,0.0,0.5059141355140186,-0.02589086859688207,0.0,62.0,2506.0,72.0,0.6,782
bookkeeper,2,56.011315417256014,IBk,true,false,true,0.06200997861724875,0.453125,0.5863582862523541,0.02043227403806748,87.0,1316.0,2224.0,105.0,0.25,2366
bookkeeper,3,66.44736842105263,IBk,true,false,true,0.07835820895522388,0.0875,0.5571628750412133,0.025047469467170513,21.0,247.0,3797.0,219.0,0.2,2437
bookkeeper,4,73.83761276891047,IBk,true,false,true,0.1813953488372093,0.09558823529411764,0.6183964657291487,0.067132498830879,39.0,176.0,3940.0,369.0,0.4117647058823529,3866
