ID,Size,prob,actual
0,115.0,8.889771419481878E-4,false
1,329.0,8.889771419481878E-4,false
2,35.0,0.019775556442796775,false
3,390.0,8.889771419481878E-4,false
4,84.0,1.1129528593262467E-4,false
5,70.0,1.780486783179235E-4,false
6,92.0,1.1129528593262467E-4,false
7,89.0,2.2254103632870947E-4,false
8,63.0,9.89315898555732E-5,false
9,51.0,1.780486783179235E-4,false
10,147.0,1.780486783179235E-4,false
11,179.0,4.448840627366838E-4,false
12,282.0,8.889771419481878E-4,false
13,295.0,8.889771419481878E-4,false
14,106.0,1.483827050464425E-4,false
15,47.0,8.904019264757982E-5,false
16,45.0,1.1129528593262467E-4,false
17,83.0,2.966773665125466E-4,false
18,90.0,2.2254103632870947E-4,false
19,721.0,8.889771419481878E-4,true
20,62.0,8.904019264757982E-5,false
21,35.0,0.019775556442796775,false
22,172.0,4.448840627366838E-4,false
23,97.0,8.889771419481878E-4,false
24,27.0,5.238042482114334E-5,false
25,191.0,4.448840627366838E-4,false
26,66.0,1.780486783179235E-4,false
27,82.0,8.889771419481878E-4,false
28,43.0,0.016534608258893347,false
29,189.0,8.889771419481878E-4,true
30,101.0,2.2254103632870947E-4,false
31,87.0,8.889771419481878E-4,false
32,530.0,8.889771419481878E-4,false
33,166.0,8.889771419481878E-4,false
34,44.0,2.2254103632870947E-4,false
35,308.0,8.889771419481878E-4,true
36,50.0,9.89315898555732E-5,false
37,437.0,8.889771419481878E-4,false
38,74.0,5.238042482114334E-5,false
39,62.0,8.904019264757982E-5,false
40,65.0,8.889771419481878E-4,false
41,48.0,8.904019264757982E-5,false
42,46.0,2.966773665125466E-4,false
43,579.0,8.889771419481878E-4,true
44,90.0,2.2254103632870947E-4,false
45,109.0,2.966773665125466E-4,false
46,876.0,8.889771419481878E-4,false
47,92.0,1.1129528593262467E-4,false
48,226.0,8.889771419481878E-4,false
49,356.0,8.889771419481878E-4,false
50,56.0,0.016534608258893347,false
51,74.0,5.238042482114334E-5,false
52,31.0,1.483827050464425E-4,false
53,28.0,1.1129528593262467E-4,false
54,4088.0,8.889771419481878E-4,false
55,47.0,8.904019264757982E-5,false
56,221.0,8.889771419481878E-4,false
57,377.0,8.889771419481878E-4,false
58,1154.0,8.889771419481878E-4,true
59,128.0,8.889771419481878E-4,false
60,183.0,1.780486783179235E-4,false
61,58.0,9.89315898555732E-5,false
62,877.0,0.9912502386614132,true
63,60.0,2.2254103632870947E-4,false
64,42.0,9.89315898555732E-5,false
65,45.0,1.1129528593262467E-4,false
66,752.0,0.9912502386614132,true
67,84.0,1.1129528593262467E-4,false
68,143.0,4.448840627366838E-4,false
69,106.0,8.889771419481878E-4,false
70,62.0,8.904019264757982E-5,false
71,61.0,8.889771419481878E-4,false
72,148.0,1.780486783179235E-4,false
73,111.0,1.483827050464425E-4,false
74,129.0,4.448840627366838E-4,false
75,24.0,4.448840627366838E-4,false
76,422.0,8.889771419481878E-4,true
77,131.0,4.448840627366838E-4,false
78,185.0,8.889771419481878E-4,true
79,38.0,1.780486783179235E-4,false
80,69.0,2.966773665125466E-4,false
81,804.0,8.889771419481878E-4,false
82,109.0,2.966773665125466E-4,false
83,85.0,2.2254103632870947E-4,false
84,160.0,4.448840627366838E-4,false
85,156.0,4.448840627366838E-4,false
86,90.0,2.2254103632870947E-4,false
87,88.0,4.448840627366838E-4,true
88,361.0,8.889771419481878E-4,true
89,155.0,4.448840627366838E-4,false
90,273.0,4.448840627366838E-4,true
91,86.0,4.448840627366838E-4,false
92,497.0,8.889771419481878E-4,false
93,134.0,8.889771419481878E-4,false
94,27.0,5.238042482114334E-5,false
95,111.0,1.483827050464425E-4,false
96,39.0,9.89315898555732E-5,false
97,31.0,1.483827050464425E-4,false
98,159.0,8.889771419481878E-4,false
99,64.0,1.271905680056756E-4,false
100,37.0,7.420236287054482E-5,false
101,162.0,0.04800241067353445,false
102,76.0,2.2254103632870947E-4,false
103,43.0,0.016534608258893347,false
104,666.0,8.889771419481878E-4,false
105,74.0,5.238042482114334E-5,false
106,192.0,8.889771419481878E-4,false
107,48.0,8.904019264757982E-5,false
108,263.0,8.889771419481878E-4,false
109,1026.0,8.889771419481878E-4,true
110,45.0,1.1129528593262467E-4,false
111,596.0,0.9912502386614132,false
112,358.0,8.889771419481878E-4,false
113,136.0,8.889771419481878E-4,false
114,89.0,2.2254103632870947E-4,false
115,191.0,4.448840627366838E-4,false
116,96.0,4.448840627366838E-4,false
117,106.0,8.889771419481878E-4,false
118,237.0,8.889771419481878E-4,false
119,565.0,8.889771419481878E-4,false
120,346.0,8.889771419481878E-4,false
121,77.0,9.89315898555732E-5,false
122,47.0,8.904019264757982E-5,false
123,123.0,2.966773665125466E-4,false
124,69.0,2.966773665125466E-4,false
125,34.0,1.483827050464425E-4,false
126,252.0,8.889771419481878E-4,false
127,132.0,1.483827050464425E-4,false
128,25.0,2.966773665125466E-4,false
129,73.0,8.889771419481878E-4,false
130,93.0,8.889771419481878E-4,false
131,624.0,8.889771419481878E-4,false
132,108.0,2.966773665125466E-4,false
133,323.0,8.889771419481878E-4,false
134,49.0,1.271905680056756E-4,false
135,213.0,8.889771419481878E-4,false
136,47.0,8.904019264757982E-5,false
137,101.0,2.2254103632870947E-4,false
138,34.0,1.483827050464425E-4,false
139,36.0,1.780486783179235E-4,false
140,117.0,4.448840627366838E-4,false
141,182.0,8.889771419481878E-4,false
142,550.0,8.889771419481878E-4,false
143,70.0,1.780486783179235E-4,false
144,89.0,2.2254103632870947E-4,false
145,517.0,8.889771419481878E-4,false
146,94.0,1.271905680056756E-4,false
147,50.0,9.89315898555732E-5,false
148,167.0,0.9912502386614132,true
149,244.0,8.889771419481878E-4,false
150,152.0,8.889771419481878E-4,false
151,27.0,5.238042482114334E-5,false
152,142.0,4.448840627366838E-4,false
153,460.0,8.889771419481878E-4,true
154,47.0,8.904019264757982E-5,false
155,50.0,9.89315898555732E-5,false
156,512.0,8.889771419481878E-4,false
157,106.0,1.483827050464425E-4,false
158,97.0,1.1129528593262467E-4,false
159,26.0,4.448840627366838E-4,false
160,345.0,8.889771419481878E-4,true
161,156.0,4.448840627366838E-4,false
162,260.0,8.889771419481878E-4,true
