JAVA_CLASS,RELEASE,SIZE,NR,N_AUTH,LOC_ADDED,MAX_LOC_ADDED,AVG_LOC_ADDED,CHURN,MAX_CHURN,AVG_CHURN,IS_BUGGY
src/java/main/org/apache/jute/compiler/JByte.java,1,35,2,1,1,1,0.5,0,0,0.0,false
src/java/main/org/apache/jute/compiler/JDouble.java,1,41,2,1,1,1,0.5,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/auth/ProviderRegistry.java,1,78,4,2,79,70,19.75,10,8,2.5,false
src/java/jmx/org/apache/zookeeper/server/quorum/ObservableFollowerZooKeeperServer.java,1,55,3,2,12,5,4.0,2,2,0.6666666666666666,false
src/java/main/org/apache/jute/compiler/CGenerator.java,1,88,2,1,4,3,2.0,4,4,2.0,false
src/java/jmx/org/apache/zookeeper/server/util/ServerObserver.java,1,38,2,1,7,5,3.5,2,2,1.0,false
src/java/main/org/apache/zookeeper/server/quorum/Vote.java,1,69,4,2,8,6,2.0,24,19,6.0,true
src/java/main/org/apache/zookeeper/server/PrepRequestProcessor.java,1,460,11,4,49,24,4.454545454545454,22,13,2.0,true
src/java/main/org/apache/jute/RecordReader.java,1,98,2,1,1,1,0.5,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/FollowerRequestProcessor.java,1,107,6,4,12,6,2.0,11,6,1.8333333333333333,true
src/java/jmx/org/apache/zookeeper/server/quorum/ObservableLeader.java,1,82,2,1,9,5,4.5,2,2,1.0,false
src/java/main/org/apache/zookeeper/server/quorum/LeaderElection.java,1,194,6,3,21,6,3.5,16,12,2.6666666666666665,false
src/java/main/org/apache/zookeeper/server/SessionTracker.java,1,58,2,1,8,6,4.0,2,2,1.0,false
src/java/main/org/apache/zookeeper/server/ZooKeeperServerMain.java,1,80,1,1,4,4,4.0,6,6,6.0,false
src/java/main/org/apache/zookeeper/server/ZooTrace.java,1,92,4,2,101,92,25.25,2,2,0.5,false
src/java/main/org/apache/zookeeper/server/quorum/QuorumCnxManager.java,1,564,5,3,204,194,40.8,71,65,14.2,true
src/java/jmx/org/apache/zookeeper/jmx/server/ConnectionBean.java,1,112,4,3,13,5,3.25,3,2,0.75,false
src/java/main/org/apache/zookeeper/server/PurgeTxnLog.java,1,94,4,2,114,85,28.5,11,9,2.75,false
src/java/main/org/apache/jute/compiler/generated/SimpleCharStream.java,1,457,2,1,1,1,0.5,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/upgrade/DataNodeV1.java,1,129,0,0,0,0,0.0,0,0,0.0,false
src/java/jmx/org/apache/zookeeper/jmx/server/DataTreeBean.java,1,88,4,2,17,8,4.25,7,4,1.75,false
src/java/main/org/apache/zookeeper/server/quorum/FollowerSessionTracker.java,1,85,2,1,9,6,4.5,2,2,1.0,false
src/java/jmx/org/apache/zookeeper/server/ManagedZooKeeperServerMain.java,1,79,2,1,7,6,3.5,1,1,0.5,false
src/java/main/org/apache/jute/compiler/generated/Token.java,1,99,2,1,1,1,0.5,0,0,0.0,false
src/java/main/org/apache/jute/compiler/generated/RccTokenManager.java,1,833,2,1,2,2,1.0,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/AuthFastLeaderElection.java,1,898,7,3,952,908,136.0,16,10,2.2857142857142856,true
src/java/jmx/org/apache/zookeeper/jmx/server/quorum/QuorumMXBean.java,1,33,2,1,6,5,3.0,2,2,1.0,false
src/java/jmx/org/apache/zookeeper/jmx/server/ZooKeeperServerBean.java,1,117,3,2,13,5,4.333333333333333,22,20,7.333333333333333,false
src/java/main/org/apache/zookeeper/server/quorum/LeaderZooKeeperServer.java,1,88,5,3,18,6,3.6,5,2,1.0,false
src/java/jmx/org/apache/zookeeper/jmx/server/quorum/FollowerBean.java,1,28,2,1,6,5,3.0,2,2,1.0,false
src/java/jmx/org/apache/zookeeper/server/util/EventInfo.java,1,30,2,1,6,5,3.0,2,2,1.0,false
src/java/main/org/apache/zookeeper/server/Request.java,1,197,6,4,27,11,4.5,11,4,1.8333333333333333,false
src/java/main/org/apache/jute/compiler/JField.java,1,99,2,1,1,1,0.5,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/LogFormatter.java,1,72,3,2,12,6,4.0,2,2,0.6666666666666666,false
src/java/jmx/org/apache/zookeeper/server/util/ObserverManager.java,1,95,2,1,6,5,3.0,2,2,1.0,false
src/java/main/org/apache/zookeeper/KeeperException.java,1,336,3,1,7,6,2.3333333333333335,2,2,0.6666666666666666,false
src/java/main/org/apache/jute/compiler/JType.java,1,142,2,1,1,1,0.5,0,0,0.0,false
src/java/main/org/apache/zookeeper/server/quorum/FastLeaderElection.java,1,626,10,4,145,82,14.5,167,106,16.7,true
src/java/main/org/apache/jute/compiler/generated/RccConstants.java,1,88,2,1,1,1,0.5,0,0,0.0,false
