DATASET,TRAINING_RELEASES,%TRAINING_INSTANCES,CLASSIFIER,FEATURE_SELECTION,BALANCING,COST_SENSITIVE,PRECISION,RECALL,AUC,KAPPA,TP,FP,TN,FN,NPOFB20,COST

zookeeper,1,49.840255591054316,Random Forest,false,false,false,0.0,0.0,0.5,0.0,0.0,0.0,134.0,23.0,0.09090909090909091,230
zookeeper,2,64.93775933609959,Random Forest,false,false,false,0.0,0.0,0.5285884455032758,0.0,0.0,0.0,146.0,23.0,0.09090909090909091,230
zookeeper,3,74.03993855606758,Random Forest,false,false,false,0.0,0.0,0.6331896551724138,0.0,0.0,0.0,145.0,24.0,0.17391304347826086,240
zookeeper,4,77.22419928825623,Random Forest,false,false,false,0.0,0.0,0.5832887700534759,0.0,0.0,0.0,170.0,22.0,0.09523809523809523,220
zookeeper,5,81.44927536231884,Random Forest,false,false,false,0.0,0.0,0.6354529616724739,-0.010159651669085551,0.0,1.0,163.0,28.0,0.2857142857142857,281
zookeeper,6,83.80566801619433,Random Forest,false,false,false,0.0,0.0,0.6094372294372294,0.0,0.0,0.0,165.0,35.0,0.17142857142857143,350
zookeeper,7,83.72881355932203,Random Forest,false,false,false,0.0,0.0,0.6673097700262386,-0.008138619060120358,0.0,1.0,208.0,31.0,0.1935483870967742,311
zookeeper,8,85.90564938846826,Random Forest,false,false,false,0.6666666666666666,0.1111111111111111,0.6118527508090615,0.15454171804356776,4.0,2.0,204.0,32.0,0.17142857142857143,322
zookeeper,9,80.8761186999529,Random Forest,false,false,false,0.1111111111111111,0.027777777777777776,0.7318318318318319,0.009306548632390697,1.0,8.0,362.0,35.0,0.4,358
zookeeper,10,83.84676145339652,Random Forest,false,false,false,0.25,0.058823529411764705,0.6455294117647059,0.065648671395936,2.0,6.0,369.0,32.0,0.20588235294117646,326
zookeeper,11,90.62276306370795,Random Forest,false,false,false,0.3333333333333333,0.1,0.7984797297297297,0.08970309538850299,4.0,8.0,214.0,36.0,0.25,368
zookeeper,12,100.0,Random Forest,false,false,false,0.0,0.0,NaN,1.0,0.0,0.0,0.0,0.0,0.0,0
zookeeper,13,91.39679424272163,Random Forest,false,false,false,0.4666666666666667,0.1590909090909091,0.6417081776670818,0.1663731774318518,7.0,8.0,211.0,37.0,0.18604651162790697,378
zookeeper,14,92.05058717253839,Random Forest,false,false,false,0.42857142857142855,0.06382978723404255,0.640945190704971,0.06809824974260933,3.0,4.0,213.0,44.0,0.2391304347826087,444
zookeeper,15,92.63598326359832,Random Forest,false,false,false,1.0,0.10204081632653061,0.7030374940673944,0.15618189742844713,5.0,0.0,215.0,44.0,0.25,440
zookeeper,16,92.65960196433187,Random Forest,false,false,false,1.0,0.1276595744680851,0.6819732471496543,0.19630038652678053,6.0,0.0,237.0,41.0,0.2391304347826087,410
zookeeper,17,93.09432146294515,Random Forest,false,false,false,1.0,0.10606060606060606,0.5855614973262032,0.1544914365606434,7.0,0.0,221.0,59.0,0.2,590
zookeeper,18,93.54040063020481,Random Forest,false,false,false,0.75,0.041666666666666664,0.5767118863049095,0.053964965153512956,3.0,1.0,214.0,69.0,0.19718309859154928,691
zookeeper,19,93.9323467230444,Random Forest,false,false,false,0.6666666666666666,0.023809523809523808,0.5456544686840253,0.026323319027181668,2.0,1.0,202.0,82.0,0.1686746987951807,821
zookeeper,20,93.99841017488076,Random Forest,false,false,false,0.875,0.08333333333333333,0.6838138925294889,0.10907715582450836,7.0,1.0,217.0,77.0,0.3373493975903614,771
zookeeper,21,93.8981153200224,Random Forest,false,false,false,0.6470588235294118,0.14864864864864866,0.668251255207777,0.1717264417605818,11.0,6.0,247.0,63.0,0.20270270270270271,636
zookeeper,22,93.85288966725044,Random Forest,false,false,false,0.3157894736842105,0.09375,0.6998856707317073,0.06666416988127795,6.0,13.0,274.0,58.0,0.2698412698412698,593
